Favorite_Genre,Subscription_Type,平均觀看小時
Drama,Basic,545.41
Romance,Basic,539.17
Action,Premium,538.69
Sci-Fi,Basic,532.62
Drama,Premium,519.1
Comedy,Premium,514.08
Comedy,Standard,511.46
Documentary,Premium,505.99
Action,Basic,501.83
Comedy,Basic,499.58
Romance,Premium,499.32
Romance,Standard,497.44
Documentary,Basic,494.34
Horror,Premium,494.26
Documentary,Standard,487.35
Horror,Basic,483.53
Drama,Standard,478.38
Horror,Standard,450.53
Action,Standard,436.31
Sci-Fi,Premium,434.74
Sci-Fi,Standard,398.27
